id;centro;region;comuna;direccion
1;ouch saw;times going;like resource what;dearest yuck
2;including;thin until;abaft forgather;why ick consequently
3;during cavernous;tray ugh inject;knowledgeably paltry among;for sans ick
4;haze because boastfully;unnaturally kissingly;strictly suspiciously qua;than until awareness
5;menacing toe querulous;digit wherever;unused yowza gulp;bah
6;up an well-off;redesign for;unimpressively republican;beloved growing overcharge
7;before;stark gadzooks duh;hm gadzooks;finger neat
8;please;because;too;surge geez
9;forgery scorn;of foolishly;gee lounge;first confusion
10;gah;pish how upliftingly;zowie partridge;obesity exploration
